hex_id,n_tiles,mean_err,std_err,hex_area_m2,N_total_tiles,se_mean,ci_lo_mean,ci_hi_mean,total_err_est,se_total_est,ci_lo_total,ci_hi_total
345,0,,,649519.053,65,,,,,,,
346,0,,,649519.053,65,,,,,,,
347,0,,,649519.053,65,,,,,,,
348,1,0.0,,649519.053,65,,,,0.0,,,
349,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,3,2.667,3.055,649519.053,65,1.764,-0.79,6.124,173.333,114.649,-51.379,398.046
353,5,0.2,0.447,649519.053,65,0.2,-0.192,0.592,13.0,13.0,-12.48,38.48
354,2,-0.5,2.121,649519.053,65,1.5,-3.44,2.44,-32.5,97.5,-223.6,158.6
355,1,1.0,,649519.053,65,,,,65.0,,,
356,1,1.0,,649519.053,65,,,,65.0,,,
357,4,-5.25,4.573,649519.053,65,2.287,-9.732,-0.768,-341.25,148.638,-632.58,-49.92
358,0,,,649519.053,65,,,,,,,
359,0,,,649519.053,65,,,,,,,
360,1,0.0,,649519.053,65,,,,0.0,,,
361,0,,,649519.053,65,,,,,,,
362,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
363,0,,,649519.053,65,,,,,,,
364,4,0.5,0.577,649519.053,65,0.289,-0.066,1.066,32.5,18.764,-4.277,69.277
365,6,-2.5,3.332,649519.053,65,1.36,-5.166,0.166,-162.5,88.41,-335.783,10.783
366,3,-2.0,2.0,649519.053,65,1.155,-4.263,0.263,-130.0,75.056,-277.109,17.109
367,3,-4.667,5.686,649519.053,65,3.283,-11.101,1.768,-303.333,213.392,-721.581,114.915
368,1,0.0,,649519.053,65,,,,0.0,,,
